N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
104,팬오션,"5,060",170,+3.48%,"1,000","27,049","534,570",16.34,"3,428,717",3.42,17.16,
105,현대해상,"30,250",650,-2.10%,500,"27,044","89,400",32.40,"326,995",4.95,8.82,
106,일진머티리얼즈,"57,000",900,+1.60%,500,"26,283","46,111",10.13,"527,038",44.64,7.85,
107,씨에스윈드,"62,300",900,-1.42%,500,"26,273","42,171",11.10,"336,747",151.21,10.13,
108,제일기획,"22,300",200,-0.89%,200,"25,654","115,041",32.48,"265,007",13.97,15.58,
109,메리츠증권,"4,000",85,-2.08%,"1,000","25,588","639,711",13.70,"1,390,724",3.50,15.77,
110,롯데쇼핑,"89,900","3,600",+4.17%,"5,000","25,432","28,289",12.24,"85,843",-22.13,-2.94,
111,아모레G,"29,700",600,+2.06%,500,"24,490","82,458",14.70,"175,823",66.59,5.49,
112,이마트,"86,600","2,000",+2.36%,"5,000","24,140","27,876",26.66,"164,113",1.38,16.25,
113,신세계,"237,000","8,500",+3.72%,"5,000","23,333","9,845",27.25,"62,200",5.77,8.54,
114,KODEX 200선물인버스2X,"3,655",25,-0.68%,0,"23,282","637,000",2.56,"250,964,905",N/A,N/A,
115,한화시스템,"12,100",200,-1.63%,"5,000","22,859","188,919",3.05,"1,577,327",123.47,6.04,
116,OCI,"94,100",800,+0.86%,"5,000","22,442","23,849",10.46,"464,630",3.01,23.93,
117,한전기술,"57,900","1,800",+3.21%,200,"22,129","38,220",1.77,"236,266",129.82,3.25,
118,한미사이언스,"32,200",300,+0.94%,500,"22,097","68,624",1.81,"120,152",42.88,6.37,
119,만도,"46,750",850,+1.85%,"1,000","21,952","46,957",21.27,"256,447",20.82,9.31,
120,대우조선해양,"20,400","4,550",-18.24%,"5,000","21,887","107,291",2.47,"5,576,656",-1.95,-55.86,
121,CJ대한통운,"95,700",300,-0.31%,"5,000","21,831","22,812",18.36,"97,929",11.97,1.59,
122,KCC,"244,000","9,000",+3.83%,"5,000","21,683","8,886",10.31,"51,313",-8.54,-0.92,
123,영원무역,"48,600","1,000",+2.10%,500,"21,535","44,311",29.07,"90,815",4.72,14.71,
124,GS건설,"24,950",400,+1.63%,"5,000","21,353","85,581",32.59,"707,399",4.41,9.32,
125,TIGER 미국나스닥100,"72,580",780,+1.09%,0,"21,244","29,270",0.11,"192,010",N/A,N/A,
126,에스원,"55,900",100,-0.18%,500,"21,242","37,999",53.23,"92,658",17.31,9.13,
127,현대차우,"86,500",800,+0.93%,"5,000","21,069","24,357",57.72,"31,947",3.84,N/A,
128,CJ,"72,100",100,-0.14%,"5,000","21,037","29,177",17.48,"33,139",7.94,5.66,
129,동서,"21,000",250,+1.20%,500,"20,937","99,700",3.12,"64,002",18.04,8.05,
130,키움증권,"78,300",700,-0.89%,"5,000","20,530","26,220",24.64,"49,388",3.39,25.38,
131,KODEX 레버리지,"12,570",55,+0.44%,0,"20,495","163,050",2.15,"37,873,604",N/A,N/A,
132,휠라홀딩스,"33,450",650,+1.98%,"1,000","20,322","60,752",40.21,"565,991",9.68,16.20,
133,BNK금융지주,"6,210",130,-2.05%,"5,000","20,241","325,935",36.45,"2,047,562",2.44,8.76,
134,한솔케미칼,"176,500","1,500",-0.84%,"5,000","20,007","11,335",37.33,"67,340",13.20,23.88,
135,LG화학우,"258,500","2,500",-0.96%,"5,000","19,876","7,689",70.39,"11,767",9.11,N/A,
136,LIG넥스원,"90,100",200,+0.22%,"5,000","19,822","22,000",12.14,"182,744",13.34,14.63,
137,두산퓨얼셀,"30,100",350,+1.18%,100,"19,714","65,494",15.12,"351,526",255.08,1.69,
138,한화,"26,050",100,+0.39%,"5,000","19,527","74,959",16.94,"378,909",2.44,20.22,
139,TIGER 200,"29,130",70,+0.24%,0,"19,386","66,550",0.00,"1,141,188",N/A,N/A,
140,하이트진로,"27,500",900,+3.38%,"5,000","19,287","70,134",12.59,"276,448",20.48,6.62,
141,한화생명,"2,220",55,-2.42%,"5,000","19,281","868,530",7.39,"2,926,067",1.83,10.79,
142,LS,"59,200",400,-0.67%,"5,000","19,062","32,200",14.49,"115,808",5.94,8.15,
143,농심,"308,500","4,500",+1.48%,"5,000","18,765","6,083",13.27,"32,849",16.56,4.73,
144,TIGER 단기통안채,"101,325",5,0.00%,0,"18,629","18,385",4.13,"426,704",N/A,N/A,
145,대웅제약,"159,500","8,000",+5.28%,"2,500","18,481","11,587",8.59,"49,032",25.41,4.39,
146,대한전선,"1,485",5,+0.34%,100,"18,480","1,244,473",1.81,"9,193,157",39.08,7.78,
147,TIGER 미국S&P500,"13,215",35,+0.27%,0,"18,190","137,650",0.30,"1,269,499",N/A,N/A,
148,대우건설,"4,290",20,+0.47%,"5,000","17,830","415,623",10.44,"1,377,290",4.25,16.47,
149,DB하이텍,"40,050","2,100",+5.53%,"5,000","17,782","44,399",24.92,"2,625,244",3.37,33.35,
150,현대위아,"65,300",0,0.00%,"5,000","17,758","27,195",9.69,"198,238",7.85,1.96,
151,오뚜기,"481,500","8,000",+1.69%,"5,000","17,681","3,672",12.14,"5,340",11.82,8.91,
152,SK케미칼,"98,700","1,300",-1.30%,"5,000","17,392","17,621",16.99,"93,053",13.14,11.19,
153,코스모신소재,"56,000","1,000",+1.82%,"1,000","17,164","30,651",8.96,"569,610",69.48,9.42,
154,TIGER TOP10,"9,570",30,-0.31%,0,"17,049","178,150",1.83,"285,964",N/A,N/A,
155,KODEX 삼성그룹,"8,010",25,-0.31%,0,"16,212","202,400",0.53,"3,070,824",N/A,N/A,
156,에스엘,"34,450",500,+1.47%,500,"16,002","46,449",17.08,"181,195",15.70,6.63,
157,한전KPS,"35,450",800,+2.31%,200,"15,952","45,000",5.61,"186,318",23.52,9.12,
158,KODEX 단기채권PLUS,"103,970",125,-0.12%,0,"15,913","15,305",0.00,"1,749,542",N/A,N/A,
159,롯데정밀화학,"59,900","2,000",+3.45%,"5,000","15,454","25,800",19.68,"85,705",3.16,30.43,
160,롯데칠성,"165,500","2,500",+1.53%,500,"15,357","9,279",12.37,"36,502",10.10,9.96,
161,LX인터내셔널,"39,500",250,+0.64%,"5,000","15,310","38,760",30.60,"449,623",2.92,22.49,
162,효성첨단소재,"336,500","8,000",-2.32%,"5,000","15,075","4,480",6.49,"43,085",6.43,54.69,
163,효성,"71,000",500,-0.70%,"5,000","14,960","21,071",4.95,"75,567",5.00,18.04,
164,녹십자,"124,500","2,000",+1.63%,"5,000","14,550","11,687",22.14,"53,817",11.66,10.30,
165,DL이앤씨,"36,950",500,+1.37%,"5,000","14,297","38,694",21.78,"255,805",3.03,N/A,
166,TIGER 미국테크TOP10 INDXX,"10,695",165,+1.57%,0,"14,246","133,200",0.42,"392,934",N/A,N/A,
167,대성홀딩스,"88,500",300,-0.34%,"1,000","14,239","16,089",3.75,"85,624",62.06,3.61,
168,LS ELECTRIC,"47,350",450,+0.96%,"5,000","14,205","30,000",12.55,"92,254",15.36,5.86,
169,TIGER CD금리투자KIS(합성),"51,230",10,+0.02%,0,"14,165","27,650",0.00,"8,353",N/A,N/A,
170,두산,"85,400","1,500",+1.79%,"5,000","14,111","16,524",7.87,"451,817",-17.21,11.08,
171,JB금융지주,"7,100",60,-0.84%,"5,000","13,986","196,983",27.14,"234,301",2.55,12.80,
172,TIGER 미국필라델피아반도체나스닥,"9,245",70,+0.76%,0,"13,891","150,250",0.20,"790,007",N/A,N/A,
173,서울가스,"272,500",500,+0.18%,"5,000","13,625","5,000",3.80,"7,358",67.33,0.80,
174,동원시스템즈,"46,200",900,+1.99%,"5,000","13,394","28,991",13.18,"19,549",28.82,6.95,
175,DL,"63,000","1,200",-1.87%,"5,000","13,202","20,956",9.63,"93,674",8.48,26.52,
176,KODEX 단기채권,"103,630",10,+0.01%,0,"13,010","12,554",0.51,"260,089",N/A,N/A,
177,영풍,"702,000","17,000",-2.36%,"5,000","12,931","1,842",3.85,"8,101",7.22,3.66,
178,현대백화점,"55,100",800,+1.47%,"5,000","12,895","23,402",21.30,"150,927",6.03,4.36,
179,롯데제과,"133,000","5,000",+3.91%,500,"12,548","9,435",14.53,"42,663",25.83,2.88,
180,코오롱인더,"44,450",50,+0.11%,"5,000","12,232","27,519",17.02,"143,089",7.05,8.20,
181,KODEX 종합채권(AA-이상)액티브,"98,070",390,-0.40%,0,"12,132","12,371",0.00,"3,562",N/A,N/A,
182,한국앤컴퍼니,"12,650",50,+0.40%,500,"12,009","94,935",9.25,"64,309",5.31,5.53,
183,KODEX 2차전지산업,"18,320",30,-0.16%,0,"12,000","65,500",0.14,"2,402,446",N/A,N/A,
184,DGB금융지주,"7,090",160,-2.21%,"5,000","11,992","169,146",46.45,"752,107",2.35,9.63,
185,대웅,"20,600",450,+2.23%,500,"11,977","58,142",4.41,"68,456",10.62,11.13,
186,롯데리츠,"4,910",25,-0.51%,500,"11,930","242,969",10.87,"166,770",62.95,1.65,
187,TIGER 2차전지테마,"17,650",130,+0.74%,0,"11,923","67,550",0.07,"1,111,595",N/A,N/A,
188,한미반도체,"11,950",50,-0.42%,100,"11,821","98,920",5.11,"438,893",10.47,34.59,
189,롯데렌탈,"32,250",800,+2.54%,"5,000","11,814","36,634",4.79,"43,461",7.90,12.28,
190,후성,"12,700",50,+0.40%,500,"11,761","92,607",6.87,"1,535,361",15.78,9.61,
191,솔루스첨단소재,"33,350",250,+0.76%,100,"11,710","35,111",5.62,"223,303",149.55,4.00,
192,일진하이솔루스,"31,900",300,+0.95%,500,"11,584","36,313",1.43,"84,696",129.67,4.97,
193,동국제강,"12,100",50,-0.41%,"5,000","11,547","95,433",22.55,"721,260",1.46,23.41,
194,효성티앤씨,"264,000",0,0.00%,"5,000","11,425","4,328",9.27,"29,237",2.34,76.22,
195,대덕전자,"22,450",300,+1.35%,500,"11,094","49,417",18.88,"581,949",8.72,9.55,
196,ESR켄달스퀘어리츠,"5,200",90,-1.70%,"1,000","11,081","213,089",52.58,"91,898",35.62,3.24,
197,TIGER MSCI Korea TR,"11,885",10,-0.08%,0,"11,006","92,600",9.07,"3,353",N/A,N/A,
198,KODEX 200TR,"9,705",0,0.00%,0,"10,976","113,100",0.14,"443,517",N/A,N/A,
199,신풍제약,"20,300",50,-0.25%,500,"10,756","52,985",5.99,"294,934",-47.99,-3.19,
200,한샘,"45,350","1,100",+2.49%,"1,000","10,673","23,534",13.93,"66,101",34.88,9.10,
201,금양,"18,300",350,+1.95%,500,"10,623","58,050",0.84,"4,546,104",59.03,13.57,
202,현대일렉트릭,"29,250",300,+1.04%,"5,000","10,544","36,047",11.35,"367,570",-22.08,-5.08,
203,KBSTAR 200,"29,230",55,+0.19%,0,"10,216","34,950",0.04,"170,470",N/A,N/A,
204,SK리츠,"5,160",10,-0.19%,500,"10,142","196,554",2.68,"175,103",93.82,N/A,
205,금호타이어,"3,525",170,+5.07%,"5,000","10,126","287,260",4.10,"466,986",-12.91,-6.08,
206,삼천리,"249,000","3,000",-1.19%,"5,000","10,097","4,055",14.97,"29,947",13.44,4.52,
207,솔루엠,"20,000",350,-1.72%,500,"10,001","50,006",11.14,"131,048",46.73,6.94,
208,명신산업,"19,050",600,-3.05%,500,"9,996","52,470",3.55,"688,689",18.59,18.85,
209,SK네트웍스,"4,020",85,+2.16%,"2,500","9,977","248,188",10.46,"488,122",20.51,4.64,
210,SK가스,"107,500","1,000",-0.92%,"5,000","9,923","9,230",5.20,"18,691",4.23,12.41,
211,신세계인터내셔날,"27,700",100,+0.36%,"1,000","9,889","35,700",6.52,"64,619",9.94,12.11,
212,현대엘리베이,"24,000",550,+2.35%,"5,000","9,796","40,815",29.51,"148,105",5.61,10.62,
